step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode,global_step
85.0,25,0,8,34,59,0,42.0,1.68,4.792808650446486,8,88.0,0.2593155985555229,8,88.0,11,2846.0
90.0,29,0,2,36,65,0,4.0,0.1379310344827586,7.016215897184972,2,63.0,0.3766163481503715,2,63.0,11,2851.0
95.0,32,0,0,37,69,0,0.0,0.0,9.04868323288539,0,27.0,0.4946450243674286,0,27.0,11,2856.0
100.0,33,0,3,41,74,0,6.0,0.1818181818181818,8.474694974064663,3,28.0,0.4878674708756193,3,28.0,11,2861.0
105.0,31,0,8,46,77,0,34.0,1.096774193548387,6.757931056297622,8,56.0,0.3455438383071889,8,56.0,11,2866.0
110.0,31,0,16,51,82,0,95.0,3.064516129032258,4.658927031058834,16,117.0,0.237382884748524,16,117.0,11,2871.0
115.0,33,0,15,53,86,0,97.0,2.9393939393939394,4.164118773204542,15,161.0,0.2317345761531489,15,161.0,11,2876.0
120.0,35,0,10,55,90,0,52.0,1.4857142857142858,5.3809714267117945,10,135.0,0.2681231276819497,10,135.0,11,2881.0
125.0,39,0,7,56,95,0,27.0,0.6923076923076923,6.621494842102616,7,129.0,0.3343902209751446,7,129.0,11,2886.0
130.0,39,0,3,59,98,0,15.0,0.3846153846153846,7.110504415444322,3,94.0,0.3545489945764781,3,94.0,11,2891.0
135.0,36,1,5,64,100,0,31.0,0.8611111111111112,7.817812344586084,5,73.0,0.4319648148651003,5,73.0,11,2896.0
140.0,36,0,5,68,104,0,56.0,1.5555555555555556,9.050911608652104,5,70.0,0.5685151461807767,5,70.0,11,2901.0
145.0,34,0,5,74,108,0,81.0,2.3823529411764706,9.790820877396945,5,84.0,0.6453360667047545,5,84.0,11,2906.0
150.0,32,0,2,80,112,0,2.0,0.0625,7.808872114483861,2,52.0,0.4537975545594825,2,52.0,11,2911.0
155.0,32,0,6,85,117,0,22.0,0.6875,8.139682385203699,6,25.0,0.4519990319838484,6,25.0,11,2916.0
160.0,32,0,11,90,122,0,72.0,2.25,7.247088441363346,11,75.0,0.3652126622862115,11,75.0,11,2921.0
165.0,31,0,9,94,125,0,57.0,1.8387096774193548,5.951530300715806,9,102.0,0.2992886348711009,9,102.0,11,2926.0
170.0,29,0,6,98,127,0,16.0,0.5517241379310345,6.703438800211012,6,78.0,0.3399078429549609,6,78.0,11,2931.0
175.0,31,0,3,100,131,0,15.0,0.4838709677419355,8.038890368865085,3,47.0,0.4229457347173448,3,47.0,11,2936.0
180.0,34,0,1,103,137,0,2.0,0.0588235294117647,9.0645351207442,1,35.0,0.5955828653103556,1,35.0,11,2941.0
185.0,30,0,6,108,138,0,23.0,0.7666666666666667,7.505113402577639,6,49.0,0.363526735304101,6,49.0,11,2946.0
190.0,27,0,13,113,140,0,74.0,2.740740740740741,5.504572867669051,13,100.0,0.120723066720593,13,100.0,11,2951.0
195.0,24,0,9,117,141,0,66.0,2.75,4.641219568520774,9,126.0,0.1464915923594926,9,126.0,11,2956.0
200.0,25,0,2,121,146,0,7.0,0.28,7.634538242304948,2,96.0,0.4229824813567873,2,96.0,11,2961.0
205.0,29,0,1,122,151,0,9.0,0.3103448275862069,10.47208570769324,1,42.0,0.6455720532924568,1,42.0,11,2966.0
210.0,26,0,1,126,152,0,14.0,0.5384615384615384,10.442606342874608,1,14.0,0.6393077901961963,1,14.0,11,2971.0
215.0,26,0,3,130,156,0,27.0,1.0384615384615383,10.275894953827615,3,27.0,0.5921975498475868,3,27.0,11,2976.0
220.0,24,0,6,136,160,0,51.0,2.125,9.72170466057421,6,51.0,0.5160132218372016,6,51.0,11,2981.0
225.0,23,0,7,141,164,0,83.0,3.608695652173913,9.084118488977031,7,83.0,0.5261582709565865,7,83.0,11,2986.0
230.0,20,0,1,146,166,0,7.0,0.35,7.674160056492061,1,59.0,0.4470622015691587,1,59.0,11,2991.0
235.0,26,0,3,148,174,0,9.0,0.3461538461538461,9.943318180001569,3,16.0,0.652186722494184,3,16.0,11,2996.0
240.0,28,0,6,151,179,0,31.0,1.1071428571428572,9.28555122234074,6,31.0,0.5921845267373748,6,31.0,11,3001.0
245.0,27,0,2,154,181,0,9.0,0.3333333333333333,7.050176238417824,2,34.0,0.4091356410546757,2,34.0,11,3006.0
250.0,24,0,2,158,182,0,4.0,0.1666666666666666,6.046163782946917,2,19.0,0.2555358430551097,2,19.0,11,3011.0
5.0,4,0,0,0,4,0,0.0,0.0,13.11148718373676,0,0.0,0.9741823190202186,0,0.0,12,3017.0
10.0,8,0,0,0,8,0,0.0,0.0,12.848927675604084,0,0.0,0.9400630243873715,0,0.0,12,3022.0
15.0,13,0,1,0,13,0,2.0,0.1538461538461538,10.001935767316247,1,2.0,0.729000709873732,1,2.0,12,3027.0
20.0,18,0,0,0,18,0,0.0,0.0,9.145670297863466,0,3.0,0.6851310885116033,0,3.0,12,3032.0
25.0,20,0,2,1,21,0,5.0,0.25,10.475324511321652,2,5.0,0.7117973210931715,2,5.0,12,3037.0
30.0,23,0,2,1,24,0,15.0,0.6521739130434783,10.446479463078695,2,15.0,0.6142988390940302,2,15.0,12,3042.0
35.0,22,0,2,5,27,0,2.0,0.0909090909090909,8.756627178846113,2,7.0,0.5113733669110185,2,7.0,12,3047.0
40.0,19,0,3,10,29,0,16.0,0.8421052631578947,9.508035048947896,3,16.0,0.5001023028006124,3,16.0,12,3052.0
45.0,18,0,6,13,31,0,39.0,2.1666666666666665,7.884525563475375,6,39.0,0.3245015475681507,6,39.0,12,3057.0
50.0,16,0,2,18,34,0,6.0,0.375,6.987631129073123,2,37.0,0.451400303706038,2,37.0,12,3062.0
55.0,18,0,0,20,38,0,0.0,0.0,9.527344734828455,0,7.0,0.6386821563349129,0,7.0,12,3067.0
60.0,21,0,0,20,41,0,0.0,0.0,11.939166963486413,0,0.0,0.9061556468633398,0,0.0,12,3072.0
65.0,24,0,0,23,47,0,0.0,0.0,12.363407947033002,0,0.0,0.9483620078531662,0,0.0,12,3077.0
70.0,23,0,0,28,51,0,0.0,0.0,11.55466942280988,0,0.0,0.8034723365724779,0,0.0,12,3082.0
75.0,19,0,0,34,53,0,0.0,0.0,8.873614995093366,0,0.0,0.5748952906398904,0,0.0,12,3087.0
80.0,21,0,4,37,58,0,13.0,0.6190476190476191,9.16684567993024,4,13.0,0.5396409149510671,4,13.0,12,3092.0
85.0,22,0,7,39,61,0,43.0,1.9545454545454544,7.2263833164089215,7,43.0,0.4023110976294839,7,43.0,12,3097.0
